Run,Noise_Type,Level,Method,Accuracy
0,Label,0.0,LDA,0.8099
0,Label,0.0,SVM,0.8417
0,Label,0.05,LDA,0.8091
0,Label,0.05,SVM,0.8332
0,Label,0.1,LDA,0.8085
0,Label,0.1,SVM,0.8319
0,Label,0.2,LDA,0.8105
0,Label,0.2,SVM,0.8211
0,Label,0.3,LDA,0.8106
0,Label,0.3,SVM,0.8175
0,Label,0.4,LDA,0.8101
0,Label,0.4,SVM,0.8142
0,Label,0.5,LDA,0.81
0,Label,0.5,SVM,0.8109
0,Feature,0.0,LDA,0.8099
0,Feature,0.0,SVM,0.8417
0,Feature,0.1,LDA,0.8082
0,Feature,0.1,SVM,0.8387
0,Feature,0.3,LDA,0.8028
0,Feature,0.3,SVM,0.832
0,Feature,0.5,LDA,0.798
0,Feature,0.5,SVM,0.8254
0,Feature,0.7,LDA,0.794
0,Feature,0.7,SVM,0.8193
0,Feature,1.0,LDA,0.7892
0,Feature,1.0,SVM,0.8132
