Run,Noise_Type,Level,Method,Accuracy
0,Label,0.0,LDA,0.9592
0,Label,0.0,SVM,0.9729
0,Label,0.05,LDA,0.9576
0,Label,0.05,SVM,0.9668
0,Label,0.1,LDA,0.9569
0,Label,0.1,SVM,0.9639
0,Label,0.2,LDA,0.9548
0,Label,0.2,SVM,0.9623
0,Label,0.3,LDA,0.9536
0,Label,0.3,SVM,0.9581
0,Label,0.4,LDA,0.9512
0,Label,0.4,SVM,0.9549
0,Label,0.5,LDA,0.9495
0,Label,0.5,SVM,0.9494
0,Feature,0.0,LDA,0.9587
0,Feature,0.0,SVM,0.9729
0,Feature,0.1,LDA,0.9584
0,Feature,0.1,SVM,0.9727
0,Feature,0.3,LDA,0.9549
0,Feature,0.3,SVM,0.9706
0,Feature,0.5,LDA,0.9503
0,Feature,0.5,SVM,0.9656
0,Feature,0.7,LDA,0.9478
0,Feature,0.7,SVM,0.9631
0,Feature,1.0,LDA,0.9453
0,Feature,1.0,SVM,0.9583
