Dataset,Subset_Size,Dimension,LDA_Accuracy,SVM_Accuracy
cifar10,20,2,0.1495,0.1681
cifar10,20,5,0.1606,0.1844
cifar10,20,10,0.1462,0.1729
cifar10,20,15,0.165,0.163
cifar10,20,20,0.1472,0.1797
cifar10,50,2,0.202,0.1892
cifar10,50,5,0.2194,0.2137
cifar10,50,10,0.2315,0.2142
cifar10,50,15,0.226,0.2031
cifar10,50,20,0.2292,0.1904
cifar10,50,50,0.2143,0.206
cifar10,100,2,0.1982,0.184
cifar10,100,5,0.2338,0.2281
cifar10,100,10,0.257,0.2437
cifar10,100,15,0.2623,0.2357
cifar10,100,20,0.2678,0.2394
cifar10,100,50,0.2474,0.2038
cifar10,100,100,0.1887,0.1818
cifar10,200,2,0.2041,0.1871
cifar10,200,5,0.2819,0.2769
cifar10,200,10,0.3059,0.3015
cifar10,200,15,0.319,0.3115
cifar10,200,20,0.319,0.3087
cifar10,200,50,0.3078,0.2588
cifar10,200,100,0.2699,0.2197
cifar10,1000,2,0.2171,0.2002
cifar10,1000,5,0.2915,0.281
cifar10,1000,10,0.3367,0.3307
cifar10,1000,15,0.3744,0.3684
cifar10,1000,20,0.3868,0.3778
cifar10,1000,50,0.4187,0.4146
cifar10,1000,100,0.4044,0.3823
cifar10,5000,2,0.2179,0.1936
cifar10,5000,5,0.2936,0.2849
cifar10,5000,10,0.347,0.3349
cifar10,5000,15,0.3716,0.3623
cifar10,5000,20,0.4045,0.4
cifar10,5000,50,0.4573,0.4559
cifar10,5000,100,0.4658,0.4655
cifar10,10000,2,0.2069,0.1899
cifar10,10000,5,0.2962,0.2856
cifar10,10000,10,0.3486,0.3371
cifar10,10000,15,0.3729,0.365
cifar10,10000,20,0.406,0.3962
cifar10,10000,50,0.4576,0.4556
cifar10,10000,100,0.4748,0.4738
cifar10,20000,2,0.2125,0.1903
cifar10,20000,5,0.294,0.2866
cifar10,20000,10,0.3431,0.3352
cifar10,20000,15,0.3733,0.3673
cifar10,20000,20,0.4068,0.4009
cifar10,20000,50,0.4651,0.4594
cifar10,20000,100,0.4806,0.4809
cifar10,40000,2,0.2068,0.1864
cifar10,40000,5,0.2944,0.2846
cifar10,40000,10,0.3468,0.3344
cifar10,40000,15,0.3776,0.368
cifar10,40000,20,0.4131,0.4052
cifar10,40000,50,0.4672,0.4661
cifar10,40000,100,0.4833,0.4875
cifar10,50000,2,0.2072,0.1852
cifar10,50000,5,0.297,0.2856
cifar10,50000,10,0.345,0.3356
cifar10,50000,15,0.376,0.3701
cifar10,50000,20,0.4117,0.4034
cifar10,50000,50,0.466,0.465
cifar10,50000,100,0.4825,0.4895
