Dataset,Subset_Size,Dimension,LDA_Accuracy,SVM_Accuracy
mnist,20,2,0.1939,0.2318
mnist,20,5,0.4313,0.5136
mnist,20,10,0.2542,0.5023
mnist,20,15,0.34,0.6012
mnist,20,20,0.3868,0.6346
mnist,50,2,0.2628,0.289
mnist,50,5,0.6546,0.6488
mnist,50,10,0.7842,0.7397
mnist,50,15,0.8054,0.7696
mnist,50,20,0.8123,0.7807
mnist,50,50,0.7739,0.7239
mnist,100,2,0.2839,0.2835
mnist,100,5,0.7419,0.7052
mnist,100,10,0.828,0.82
mnist,100,15,0.8531,0.8272
mnist,100,20,0.8618,0.8235
mnist,100,50,0.8623,0.7994
mnist,100,100,0.822,0.7338
mnist,200,2,0.3342,0.3318
mnist,200,5,0.7442,0.7286
mnist,200,10,0.8502,0.8436
mnist,200,15,0.8805,0.8598
mnist,200,20,0.8858,0.8531
mnist,200,50,0.8898,0.8215
mnist,200,100,0.887,0.7692
mnist,200,150,0.8633,0.7475
mnist,200,200,0.7944,0.667
mnist,1000,2,0.3075,0.2931
mnist,1000,5,0.7868,0.7698
mnist,1000,10,0.8833,0.884
mnist,1000,15,0.9059,0.9023
mnist,1000,20,0.9143,0.9112
mnist,1000,50,0.9263,0.9095
mnist,1000,100,0.9306,0.8862
mnist,1000,150,0.937,0.8841
mnist,1000,200,0.938,0.8773
mnist,1000,250,0.9379,0.8703
mnist,1000,300,0.9306,0.8545
mnist,1000,324,0.9288,0.844
mnist,5000,2,0.3109,0.2891
mnist,5000,5,0.7878,0.77
mnist,5000,10,0.8893,0.8904
mnist,5000,15,0.91,0.9128
mnist,5000,20,0.9188,0.9276
mnist,5000,50,0.9357,0.9411
mnist,5000,100,0.9413,0.9468
mnist,5000,150,0.9501,0.9418
mnist,5000,200,0.953,0.9377
mnist,5000,250,0.9535,0.9281
mnist,5000,300,0.9535,0.9253
mnist,5000,324,0.9542,0.9237
mnist,10000,2,0.3102,0.2848
mnist,10000,5,0.7924,0.7677
mnist,10000,10,0.8905,0.8921
mnist,10000,15,0.9115,0.9133
mnist,10000,20,0.919,0.9276
mnist,10000,50,0.935,0.9452
mnist,10000,100,0.9422,0.9539
mnist,10000,150,0.9512,0.9569
mnist,10000,200,0.9537,0.954
mnist,10000,250,0.9562,0.949
mnist,10000,300,0.9559,0.9495
mnist,10000,324,0.955,0.9458
mnist,20000,2,0.3138,0.2857
mnist,20000,5,0.7923,0.7664
mnist,20000,10,0.8919,0.8923
mnist,20000,15,0.9109,0.9144
mnist,20000,20,0.9206,0.9304
mnist,20000,50,0.9362,0.9478
mnist,20000,100,0.9433,0.9616
mnist,20000,150,0.9524,0.9662
mnist,20000,200,0.9558,0.9681
mnist,20000,250,0.9579,0.9642
mnist,20000,300,0.9576,0.9653
mnist,20000,324,0.9566,0.9635
mnist,40000,2,0.3115,0.2886
mnist,40000,5,0.7891,0.7659
mnist,40000,10,0.8918,0.8939
mnist,40000,15,0.9101,0.9151
mnist,40000,20,0.9208,0.9308
mnist,40000,50,0.937,0.9478
mnist,40000,100,0.9434,0.9619
mnist,40000,150,0.9524,0.9686
mnist,40000,200,0.9561,0.971
mnist,40000,250,0.9578,0.9707
mnist,40000,300,0.9586,0.9707
mnist,40000,324,0.9581,0.9716
mnist,60000,2,0.3115,0.2876
mnist,60000,5,0.7905,0.766
mnist,60000,10,0.8913,0.8943
mnist,60000,15,0.9105,0.9154
mnist,60000,20,0.9207,0.9311
mnist,60000,50,0.9367,0.9478
mnist,60000,100,0.9443,0.9622
mnist,60000,150,0.9529,0.9697
mnist,60000,200,0.9566,0.9728
mnist,60000,250,0.9585,0.9722
mnist,60000,300,0.9592,0.9727
mnist,60000,324,0.9588,0.9729
