Run,Noise_Type,Level,Method,Accuracy
0,Label,0.0,LDA,0.5125
0,Label,0.0,SVM,0.5169
0,Label,0.05,LDA,0.5122
0,Label,0.05,SVM,0.5126
0,Label,0.1,LDA,0.5125
0,Label,0.1,SVM,0.5124
0,Label,0.2,LDA,0.5105
0,Label,0.2,SVM,0.5053
0,Label,0.3,LDA,0.506
0,Label,0.3,SVM,0.5017
0,Label,0.4,LDA,0.4981
0,Label,0.4,SVM,0.4856
0,Label,0.5,LDA,0.4866
0,Label,0.5,SVM,0.4779
0,Feature,0.0,LDA,0.5125
0,Feature,0.0,SVM,0.5169
0,Feature,0.1,LDA,0.5127
0,Feature,0.1,SVM,0.5206
0,Feature,0.3,LDA,0.5087
0,Feature,0.3,SVM,0.5089
0,Feature,0.5,LDA,0.4995
0,Feature,0.5,SVM,0.5057
0,Feature,0.7,LDA,0.4954
0,Feature,0.7,SVM,0.4993
0,Feature,1.0,LDA,0.4888
0,Feature,1.0,SVM,0.4908
