Run,Noise_Type,Level,Method,Accuracy
0,Label,0.0,LDA,0.3782
0,Label,0.0,SVM,0.2712
0,Label,0.05,LDA,0.3646
0,Label,0.05,SVM,0.2517
0,Label,0.1,LDA,0.3605
0,Label,0.1,SVM,0.2418
0,Label,0.2,LDA,0.3384
0,Label,0.2,SVM,0.227
0,Label,0.3,LDA,0.3111
0,Label,0.3,SVM,0.2078
0,Label,0.4,LDA,0.2881
0,Label,0.4,SVM,0.197
0,Label,0.5,LDA,0.2518
0,Label,0.5,SVM,0.1775
0,Feature,0.0,LDA,0.3782
0,Feature,0.0,SVM,0.2712
0,Feature,0.1,LDA,0.3801
0,Feature,0.1,SVM,0.2788
0,Feature,0.3,LDA,0.3782
0,Feature,0.3,SVM,0.2835
0,Feature,0.5,LDA,0.3778
0,Feature,0.5,SVM,0.2904
0,Feature,0.7,LDA,0.375
0,Feature,0.7,SVM,0.2935
0,Feature,1.0,LDA,0.3657
0,Feature,1.0,SVM,0.2787
1,Label,0.0,LDA,0.3804
1,Label,0.0,SVM,0.2846
1,Label,0.05,LDA,0.3686
1,Label,0.05,SVM,0.2653
1,Label,0.1,LDA,0.3633
1,Label,0.1,SVM,0.2617
1,Label,0.2,LDA,0.3433
1,Label,0.2,SVM,0.2347
1,Label,0.3,LDA,0.3057
1,Label,0.3,SVM,0.2109
1,Label,0.4,LDA,0.284
1,Label,0.4,SVM,0.1852
1,Label,0.5,LDA,0.2495
1,Label,0.5,SVM,0.1684
1,Feature,0.0,LDA,0.3804
1,Feature,0.0,SVM,0.2845
1,Feature,0.1,LDA,0.3818
1,Feature,0.1,SVM,0.2862
1,Feature,0.3,LDA,0.3842
1,Feature,0.3,SVM,0.2979
1,Feature,0.5,LDA,0.3841
1,Feature,0.5,SVM,0.2888
1,Feature,0.7,LDA,0.3811
1,Feature,0.7,SVM,0.2909
1,Feature,1.0,LDA,0.3798
1,Feature,1.0,SVM,0.286
2,Label,0.0,LDA,0.3768
2,Label,0.0,SVM,0.2653
2,Label,0.05,LDA,0.3635
2,Label,0.05,SVM,0.2618
2,Label,0.1,LDA,0.3546
2,Label,0.1,SVM,0.2392
2,Label,0.2,LDA,0.3311
2,Label,0.2,SVM,0.2297
2,Label,0.3,LDA,0.293
2,Label,0.3,SVM,0.1899
2,Label,0.4,LDA,0.2599
2,Label,0.4,SVM,0.1865
2,Label,0.5,LDA,0.2477
2,Label,0.5,SVM,0.1725
2,Feature,0.0,LDA,0.3768
2,Feature,0.0,SVM,0.2653
2,Feature,0.1,LDA,0.3758
2,Feature,0.1,SVM,0.2684
2,Feature,0.3,LDA,0.3817
2,Feature,0.3,SVM,0.2838
2,Feature,0.5,LDA,0.3841
2,Feature,0.5,SVM,0.2805
2,Feature,0.7,LDA,0.3716
2,Feature,0.7,SVM,0.2775
2,Feature,1.0,LDA,0.3738
2,Feature,1.0,SVM,0.2642
3,Label,0.0,LDA,0.3732
3,Label,0.0,SVM,0.2671
3,Label,0.05,LDA,0.3691
3,Label,0.05,SVM,0.2609
3,Label,0.1,LDA,0.3562
3,Label,0.1,SVM,0.2493
3,Label,0.2,LDA,0.3232
3,Label,0.2,SVM,0.2236
3,Label,0.3,LDA,0.3024
3,Label,0.3,SVM,0.2001
3,Label,0.4,LDA,0.2905
3,Label,0.4,SVM,0.1959
3,Label,0.5,LDA,0.252
3,Label,0.5,SVM,0.1769
3,Feature,0.0,LDA,0.3732
3,Feature,0.0,SVM,0.267
3,Feature,0.1,LDA,0.3753
3,Feature,0.1,SVM,0.2791
3,Feature,0.3,LDA,0.3755
3,Feature,0.3,SVM,0.2728
3,Feature,0.5,LDA,0.3757
3,Feature,0.5,SVM,0.2841
3,Feature,0.7,LDA,0.378
3,Feature,0.7,SVM,0.2893
3,Feature,1.0,LDA,0.3703
3,Feature,1.0,SVM,0.2674
4,Label,0.0,LDA,0.3699
4,Label,0.0,SVM,0.2644
4,Label,0.05,LDA,0.3623
4,Label,0.05,SVM,0.256
4,Label,0.1,LDA,0.3519
4,Label,0.1,SVM,0.2468
4,Label,0.2,LDA,0.3353
4,Label,0.2,SVM,0.2347
4,Label,0.3,LDA,0.2925
4,Label,0.3,SVM,0.1927
4,Label,0.4,LDA,0.2839
4,Label,0.4,SVM,0.1926
4,Label,0.5,LDA,0.2452
4,Label,0.5,SVM,0.173
4,Feature,0.0,LDA,0.3699
4,Feature,0.0,SVM,0.2644
4,Feature,0.1,LDA,0.3714
4,Feature,0.1,SVM,0.269
4,Feature,0.3,LDA,0.3774
4,Feature,0.3,SVM,0.2745
4,Feature,0.5,LDA,0.3801
4,Feature,0.5,SVM,0.2731
4,Feature,0.7,LDA,0.3813
4,Feature,0.7,SVM,0.2774
4,Feature,1.0,LDA,0.3727
4,Feature,1.0,SVM,0.2636
