Run,Noise_Type,Level,Method,Accuracy
0,Label,0.0,LDA,0.6844
0,Label,0.0,SVM,0.53
0,Label,0.05,LDA,0.6216
0,Label,0.05,SVM,0.4671
0,Label,0.1,LDA,0.583
0,Label,0.1,SVM,0.4521
0,Label,0.2,LDA,0.5001
0,Label,0.2,SVM,0.3424
0,Label,0.3,LDA,0.4288
0,Label,0.3,SVM,0.313
0,Label,0.4,LDA,0.3374
0,Label,0.4,SVM,0.2409
0,Label,0.5,LDA,0.3169
0,Label,0.5,SVM,0.2348
0,Feature,0.0,LDA,0.6844
0,Feature,0.0,SVM,0.53
0,Feature,0.1,LDA,0.6925
0,Feature,0.1,SVM,0.5782
0,Feature,0.3,LDA,0.7081
0,Feature,0.3,SVM,0.6187
0,Feature,0.5,LDA,0.7241
0,Feature,0.5,SVM,0.6577
0,Feature,0.7,LDA,0.7306
0,Feature,0.7,SVM,0.6581
0,Feature,1.0,LDA,0.7189
0,Feature,1.0,SVM,0.6629
1,Label,0.0,LDA,0.6482
1,Label,0.0,SVM,0.4923
1,Label,0.05,LDA,0.5859
1,Label,0.05,SVM,0.4499
1,Label,0.1,LDA,0.5733
1,Label,0.1,SVM,0.4239
1,Label,0.2,LDA,0.5024
1,Label,0.2,SVM,0.3484
1,Label,0.3,LDA,0.4151
1,Label,0.3,SVM,0.2948
1,Label,0.4,LDA,0.3506
1,Label,0.4,SVM,0.2683
1,Label,0.5,LDA,0.2935
1,Label,0.5,SVM,0.2218
1,Feature,0.0,LDA,0.6482
1,Feature,0.0,SVM,0.4926
1,Feature,0.1,LDA,0.668
1,Feature,0.1,SVM,0.5326
1,Feature,0.3,LDA,0.6883
1,Feature,0.3,SVM,0.5958
1,Feature,0.5,LDA,0.6897
1,Feature,0.5,SVM,0.6121
1,Feature,0.7,LDA,0.69
1,Feature,0.7,SVM,0.6322
1,Feature,1.0,LDA,0.6916
1,Feature,1.0,SVM,0.6342
2,Label,0.0,LDA,0.665
2,Label,0.0,SVM,0.5221
2,Label,0.05,LDA,0.6177
2,Label,0.05,SVM,0.474
2,Label,0.1,LDA,0.5812
2,Label,0.1,SVM,0.4544
2,Label,0.2,LDA,0.4827
2,Label,0.2,SVM,0.3584
2,Label,0.3,LDA,0.4543
2,Label,0.3,SVM,0.3175
2,Label,0.4,LDA,0.3624
2,Label,0.4,SVM,0.2519
2,Label,0.5,LDA,0.2917
2,Label,0.5,SVM,0.2214
2,Feature,0.0,LDA,0.665
2,Feature,0.0,SVM,0.5221
2,Feature,0.1,LDA,0.6831
2,Feature,0.1,SVM,0.5461
2,Feature,0.3,LDA,0.6978
2,Feature,0.3,SVM,0.6038
2,Feature,0.5,LDA,0.7056
2,Feature,0.5,SVM,0.6333
2,Feature,0.7,LDA,0.69
2,Feature,0.7,SVM,0.6179
2,Feature,1.0,LDA,0.6998
2,Feature,1.0,SVM,0.6367
3,Label,0.0,LDA,0.6582
3,Label,0.0,SVM,0.4939
3,Label,0.05,LDA,0.6024
3,Label,0.05,SVM,0.4358
3,Label,0.1,LDA,0.5496
3,Label,0.1,SVM,0.4196
3,Label,0.2,LDA,0.4806
3,Label,0.2,SVM,0.3291
3,Label,0.3,LDA,0.4129
3,Label,0.3,SVM,0.2881
3,Label,0.4,LDA,0.3806
3,Label,0.4,SVM,0.2696
3,Label,0.5,LDA,0.3073
3,Label,0.5,SVM,0.2254
3,Feature,0.0,LDA,0.6582
3,Feature,0.0,SVM,0.4939
3,Feature,0.1,LDA,0.6868
3,Feature,0.1,SVM,0.5436
3,Feature,0.3,LDA,0.7066
3,Feature,0.3,SVM,0.6085
3,Feature,0.5,LDA,0.6892
3,Feature,0.5,SVM,0.6112
3,Feature,0.7,LDA,0.7018
3,Feature,0.7,SVM,0.6427
3,Feature,1.0,LDA,0.7045
3,Feature,1.0,SVM,0.6433
4,Label,0.0,LDA,0.6543
4,Label,0.0,SVM,0.5132
4,Label,0.05,LDA,0.6057
4,Label,0.05,SVM,0.4496
4,Label,0.1,LDA,0.5667
4,Label,0.1,SVM,0.4228
4,Label,0.2,LDA,0.4798
4,Label,0.2,SVM,0.3495
4,Label,0.3,LDA,0.4162
4,Label,0.3,SVM,0.2869
4,Label,0.4,LDA,0.3649
4,Label,0.4,SVM,0.2722
4,Label,0.5,LDA,0.2945
4,Label,0.5,SVM,0.2174
4,Feature,0.0,LDA,0.6543
4,Feature,0.0,SVM,0.5132
4,Feature,0.1,LDA,0.669
4,Feature,0.1,SVM,0.548
4,Feature,0.3,LDA,0.6914
4,Feature,0.3,SVM,0.5981
4,Feature,0.5,LDA,0.7072
4,Feature,0.5,SVM,0.6186
4,Feature,0.7,LDA,0.7005
4,Feature,0.7,SVM,0.6253
4,Feature,1.0,LDA,0.6948
4,Feature,1.0,SVM,0.6294
