Run,Noise_Type,Level,Method,Accuracy
0,Label,0.0,LDA,0.8452
0,Label,0.0,SVM,0.688
0,Label,0.05,LDA,0.7963
0,Label,0.05,SVM,0.6013
0,Label,0.1,LDA,0.7503
0,Label,0.1,SVM,0.5143
0,Label,0.2,LDA,0.6496
0,Label,0.2,SVM,0.4562
0,Label,0.3,LDA,0.5405
0,Label,0.3,SVM,0.3762
0,Label,0.4,LDA,0.4919
0,Label,0.4,SVM,0.3347
0,Label,0.5,LDA,0.3738
0,Label,0.5,SVM,0.2418
0,Feature,0.0,LDA,0.8431
0,Feature,0.0,SVM,0.688
0,Feature,0.1,LDA,0.8605
0,Feature,0.1,SVM,0.7289
0,Feature,0.3,LDA,0.8697
0,Feature,0.3,SVM,0.756
0,Feature,0.5,LDA,0.8755
0,Feature,0.5,SVM,0.7822
0,Feature,0.7,LDA,0.8806
0,Feature,0.7,SVM,0.7795
0,Feature,1.0,LDA,0.8829
0,Feature,1.0,SVM,0.7944
1,Label,0.0,LDA,0.8472
1,Label,0.0,SVM,0.7183
1,Label,0.05,LDA,0.7828
1,Label,0.05,SVM,0.6113
1,Label,0.1,LDA,0.7503
1,Label,0.1,SVM,0.5411
1,Label,0.2,LDA,0.6441
1,Label,0.2,SVM,0.4209
1,Label,0.3,LDA,0.5615
1,Label,0.3,SVM,0.3791
1,Label,0.4,LDA,0.4446
1,Label,0.4,SVM,0.3095
1,Label,0.5,LDA,0.3651
1,Label,0.5,SVM,0.2355
1,Feature,0.0,LDA,0.8479
1,Feature,0.0,SVM,0.7183
1,Feature,0.1,LDA,0.8665
1,Feature,0.1,SVM,0.7332
1,Feature,0.3,LDA,0.8705
1,Feature,0.3,SVM,0.7759
1,Feature,0.5,LDA,0.8784
1,Feature,0.5,SVM,0.7937
1,Feature,0.7,LDA,0.8698
1,Feature,0.7,SVM,0.7734
1,Feature,1.0,LDA,0.8757
1,Feature,1.0,SVM,0.8048
2,Label,0.0,LDA,0.8509
2,Label,0.0,SVM,0.6938
2,Label,0.05,LDA,0.8124
2,Label,0.05,SVM,0.595
2,Label,0.1,LDA,0.7283
2,Label,0.1,SVM,0.5539
2,Label,0.2,LDA,0.6394
2,Label,0.2,SVM,0.4134
2,Label,0.3,LDA,0.5354
2,Label,0.3,SVM,0.3416
2,Label,0.4,LDA,0.4445
2,Label,0.4,SVM,0.2648
2,Label,0.5,LDA,0.378
2,Label,0.5,SVM,0.2456
2,Feature,0.0,LDA,0.8495
2,Feature,0.0,SVM,0.6938
2,Feature,0.1,LDA,0.8702
2,Feature,0.1,SVM,0.7426
2,Feature,0.3,LDA,0.8905
2,Feature,0.3,SVM,0.7917
2,Feature,0.5,LDA,0.8892
2,Feature,0.5,SVM,0.7941
2,Feature,0.7,LDA,0.8901
2,Feature,0.7,SVM,0.8124
2,Feature,1.0,LDA,0.8922
2,Feature,1.0,SVM,0.7959
3,Label,0.0,LDA,0.8445
3,Label,0.0,SVM,0.6702
3,Label,0.05,LDA,0.804
3,Label,0.05,SVM,0.6107
3,Label,0.1,LDA,0.7394
3,Label,0.1,SVM,0.5043
3,Label,0.2,LDA,0.6372
3,Label,0.2,SVM,0.4102
3,Label,0.3,LDA,0.5654
3,Label,0.3,SVM,0.3561
3,Label,0.4,LDA,0.4568
3,Label,0.4,SVM,0.2861
3,Label,0.5,LDA,0.4074
3,Label,0.5,SVM,0.277
3,Feature,0.0,LDA,0.8426
3,Feature,0.0,SVM,0.6804
3,Feature,0.1,LDA,0.8562
3,Feature,0.1,SVM,0.71
3,Feature,0.3,LDA,0.8709
3,Feature,0.3,SVM,0.7572
3,Feature,0.5,LDA,0.8769
3,Feature,0.5,SVM,0.7899
3,Feature,0.7,LDA,0.8911
3,Feature,0.7,SVM,0.7715
3,Feature,1.0,LDA,0.881
3,Feature,1.0,SVM,0.8051
4,Label,0.0,LDA,0.8559
4,Label,0.0,SVM,0.6963
4,Label,0.05,LDA,0.8038
4,Label,0.05,SVM,0.6144
4,Label,0.1,LDA,0.7709
4,Label,0.1,SVM,0.5659
4,Label,0.2,LDA,0.6584
4,Label,0.2,SVM,0.4367
4,Label,0.3,LDA,0.5498
4,Label,0.3,SVM,0.362
4,Label,0.4,LDA,0.5044
4,Label,0.4,SVM,0.3394
4,Label,0.5,LDA,0.4023
4,Label,0.5,SVM,0.2824
4,Feature,0.0,LDA,0.8482
4,Feature,0.0,SVM,0.6963
4,Feature,0.1,LDA,0.8631
4,Feature,0.1,SVM,0.7233
4,Feature,0.3,LDA,0.8844
4,Feature,0.3,SVM,0.7531
4,Feature,0.5,LDA,0.876
4,Feature,0.5,SVM,0.773
4,Feature,0.7,LDA,0.8859
4,Feature,0.7,SVM,0.7911
4,Feature,1.0,LDA,0.8861
4,Feature,1.0,SVM,0.7978
